type,from ,to ,m1 ,m2 ,m3 ,i1 ,i2 ,i3 ,i4 ,i5 ,i6 ,i7 ,i8 ,i9 ,fromIdx ,toIdx
80,0 ,7 ,-0.0047 ,-0.18707 ,0.0682 ,58034.3 ,65.777 ,-5366.43 ,65.777 ,61214.3 ,136.463 ,-5366.43 ,136.463 ,3781.18 ,1 ,16
80,7 ,16 ,-0.0046 ,-0.1863 ,0.06608 ,58291.1 ,19.8685 ,-5473.55 ,19.8685 ,61541.2 ,97.7133 ,-5473.55 ,97.7133 ,3816.27 ,16 ,23
80,16 ,24 ,-0.01394 ,-0.13259 ,0.08844 ,78208.4 ,228.93 ,-5342.86 ,228.93 ,80254.4 ,364.195 ,-5342.86 ,364.195 ,4674.41 ,23 ,26
80,24 ,32 ,-0.03077 ,-0.15348 ,-0.0331 ,73101.8 ,542.591 ,-5575.72 ,542.591 ,75603.1 ,1284.63 ,-5575.72 ,1284.63 ,4511.25 ,26 ,29
80,32 ,38 ,-0.02191 ,-0.1736 ,-0.03746 ,64667.3 ,413.069 ,-5559.6 ,413.069 ,67659.3 ,547.214 ,-5559.6 ,547.214 ,4116.41 ,29 ,32
80,38 ,46 ,-0.03834 ,-0.1642 ,-0.04064 ,66888.4 ,711.562 ,-5553.49 ,711.562 ,69527.1 ,1509.7 ,-5553.49 ,1509.7 ,4236.79 ,32 ,35
80,46 ,54 ,-0.03243 ,-0.19876 ,0.00673 ,57507.4 ,581.343 ,-5700.31 ,581.343 ,60931.7 ,776.393 ,-5700.31 ,776.393 ,3851.04 ,35 ,38
80,54 ,60 ,-0.03115 ,-0.18555 ,-0.01892 ,61507.9 ,595.905 ,-5683.34 ,595.905 ,64626.6 ,1030.2 ,-5683.34 ,1030.2 ,4016.95 ,38 ,41
80,60 ,64 ,-0.00516 ,-0.19484 ,-0.00374 ,60172.9 ,72.0344 ,-5849.29 ,72.0344 ,63722.7 ,79.7995 ,-5849.29 ,79.7995 ,3987.93 ,41 ,44
80,64 ,69 ,-0.00466 ,-0.17981 ,-0.05356 ,61576.4 ,84.3801 ,-5383.18 ,84.3801 ,64668.1 ,186.784 ,-5383.18 ,186.784 ,3941.17 ,44 ,49
80,69 ,75 ,-0.00596 ,-0.17579 ,-0.07339 ,61420.1 ,113.083 ,-5468.68 ,113.083 ,64345.4 ,194.064 ,-5468.68 ,194.064 ,3940.33 ,49 ,54
80,75 ,81 ,0.00608 ,-0.19003 ,-0.01895 ,60678 ,-127.355 ,-5816.14 ,-127.355 ,64083.4 ,-108.996 ,-5816.14 ,-108.996 ,3996.48 ,54 ,57
80,81 ,87 ,0.00412 ,-0.15827 ,0.00276 ,75491.5 ,-75.1139 ,-5946.74 ,-75.1139 ,78429.1 ,-185.151 ,-5946.74 ,-185.151 ,4677.23 ,57 ,60
80,87 ,93 ,0.01052 ,-0.16024 ,0.02647 ,71912.2 ,-193.587 ,-5734.52 ,-193.587 ,74744.9 ,-385.795 ,-5734.52 ,-385.795 ,4470.68 ,60 ,63
80,93 ,97 ,0.00187 ,-0.15823 ,0.0065 ,75140.8 ,-30.9487 ,-5964.02 ,-30.9487 ,78070.5 ,-48.9047 ,-5964.02 ,-48.9047 ,4662.4 ,63 ,66
80,97 ,101 ,0.00063 ,-0.16059 ,0.01852 ,72680.5 ,-8.8213 ,-5737.09 ,-8.8213 ,75617.9 ,-37.8025 ,-5737.09 ,-37.8025 ,4510.26 ,66 ,69
80,101 ,105 ,0.0013 ,-0.16682 ,0.04295 ,67482.6 ,-30.9412 ,-5634.72 ,-30.9412 ,70395 ,-38.0608 ,-5634.72 ,-38.0608 ,4247.67 ,69 ,74
80,105 ,109 ,-0.01184 ,-0.16531 ,0.03049 ,69189.5 ,219.343 ,-5716.16 ,219.343 ,72085.6 ,440.78 ,-5716.16 ,440.78 ,4343.9 ,74 ,79
80,109 ,113 ,-0.0152 ,-0.16274 ,0.02326 ,70899.4 ,283.419 ,-5771.84 ,283.419 ,73818 ,506.808 ,-5771.84 ,506.808 ,4435.95 ,79 ,82
80,113 ,116 ,-0.00136 ,-0.1656 ,0.0393 ,68301.4 ,18.633 ,-5603.5 ,18.633 ,71214.1 ,-64.2498 ,-5603.5 ,-64.2498 ,4280.89 ,82 ,85
80,116 ,119 ,0.00551 ,-0.16492 ,0.06939 ,65768.9 ,-92.0678 ,-5369.28 ,-92.0678 ,68529.1 ,-250.388 ,-5369.28 ,-250.388 ,4116.51 ,85 ,88
80,119 ,122 ,0.00922 ,-0.16292 ,0.09323 ,64329.7 ,-149.705 ,-5134.65 ,-149.705 ,66973 ,-413.135 ,-5134.65 ,-413.135 ,4006.56 ,88 ,91
80,122 ,125 ,0.01095 ,-0.16179 ,0.12175 ,62328.1 ,-170.216 ,-4983.25 ,-170.216 ,64870.2 ,-418.682 ,-4983.25 ,-418.682 ,3882.62 ,91 ,94
80,125 ,128 ,0.01265 ,-0.15713 ,0.18662 ,58885.5 ,-181.477 ,-4526.08 ,-181.477 ,61119.2 ,-496.197 ,-4526.08 ,-496.197 ,3632.41 ,94 ,97
80,128 ,131 ,0.01185 ,-0.15915 ,0.19774 ,57474.3 ,-169.456 ,-4573.08 ,-169.456 ,59722.3 ,-488.93 ,-4573.08 ,-488.93 ,3573.33 ,97 ,100
80,131 ,136 ,-0.00567 ,-0.168 ,0.14532 ,58540.8 ,98.3889 ,-4963.57 ,98.3889 ,61120.5 ,86.6873 ,-4963.57 ,86.6873 ,3700.73 ,100 ,109
80,136 ,141 ,-0.01004 ,-0.17124 ,0.12215 ,59128.7 ,156.402 ,-5061.98 ,156.402 ,61815.5 ,186.485 ,-5061.98 ,186.485 ,3751.31 ,109 ,112
80,141 ,146 ,-0.01396 ,-0.17336 ,0.08891 ,60848.1 ,228.821 ,-5340.86 ,228.821 ,63687.8 ,343.805 ,-5340.86 ,343.805 ,3889.12 ,112 ,115
80,146 ,152 ,-0.01605 ,-0.1736 ,0.06987 ,62243.4 ,269.422 ,-5394.35 ,269.422 ,65132.2 ,431.627 ,-5394.35 ,431.627 ,3966.78 ,115 ,120
80,152 ,157 ,-0.01439 ,-0.17239 ,0.06447 ,63162.3 ,245.936 ,-5441.57 ,245.936 ,66055.9 ,367.205 ,-5441.57 ,367.205 ,4016.54 ,120 ,123
80,157 ,162 ,-0.01031 ,-0.16754 ,0.04257 ,67097 ,176.085 ,-5654.98 ,176.085 ,70009.4 ,294.98 ,-5654.98 ,294.98 ,4234.99 ,123 ,128
80,162 ,167 ,-0.00894 ,-0.16234 ,0.01688 ,71992.5 ,162.972 ,-5869.35 ,162.972 ,74919.1 ,269.161 ,-5869.35 ,269.161 ,4499.95 ,128 ,131
80,167 ,172 ,-0.00799 ,-0.15746 ,0.00033 ,75996.7 ,150.977 ,-5974.41 ,150.977 ,78918.1 ,300.908 ,-5974.41 ,300.908 ,4705.78 ,131 ,134
80,172 ,177 ,-0.00415 ,-0.20074 ,-0.00138 ,58294.9 ,69.4194 ,-5839.84 ,69.4194 ,61942.6 ,67.1633 ,-5839.84 ,67.1633 ,3908.8 ,134 ,139
80,177 ,184 ,-0.00316 ,-0.15809 ,-0.00095 ,75818.6 ,46.4301 ,-5979.25 ,46.4301 ,78760.1 ,165.037 ,-5979.25 ,165.037 ,4697.92 ,139 ,144
80,184 ,190 ,-0.00922 ,-0.18929 ,-0.02472 ,60489.7 ,174.371 ,-5635.85 ,174.371 ,63855 ,242.115 ,-5635.85 ,242.115 ,3952.85 ,144 ,147
80,190 ,195 ,-0.00572 ,-0.18127 ,-0.06104 ,60479.1 ,96.7192 ,-5463.44 ,96.7192 ,63561 ,229.951 ,-5463.44 ,229.951 ,3905.06 ,147 ,150
80,195 ,199 ,-0.00735 ,-0.17437 ,-0.08923 ,60620.9 ,118.709 ,-5222.19 ,118.709 ,63483.8 ,299.382 ,-5222.19 ,299.382 ,3857.96 ,150 ,153
80,199 ,204 ,-0.01092 ,-0.16526 ,-0.12809 ,60652.4 ,169.584 ,-5006.78 ,169.584 ,63195.7 ,445.176 ,-5006.78 ,445.176 ,3808.13 ,153 ,158
80,204 ,209 ,-0.00941 ,-0.16926 ,-0.10912 ,60779.7 ,150.715 ,-5132.86 ,150.715 ,63478.6 ,382.58 ,-5132.86 ,382.58 ,3842.44 ,158 ,161
80,209 ,214 ,-0.00921 ,-0.16962 ,-0.10712 ,60819.4 ,148.36 ,-5147.21 ,148.36 ,63531.3 ,375.324 ,-5147.21 ,375.324 ,3847.29 ,161 ,164
80,214 ,218 ,-0.00903 ,-0.16963 ,-0.10493 ,60990.6 ,145.49 ,-5163.88 ,145.49 ,63707.8 ,370.087 ,-5163.88 ,370.087 ,3858.27 ,164 ,167
