type,from ,to ,m1 ,m2 ,m3 ,i1 ,i2 ,i3 ,i4 ,i5 ,i6 ,i7 ,i8 ,i9 ,fromIdx ,toIdx
80,0 ,13 ,1.05796 ,0.00641006 ,-0.0120541 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,1 ,4
80,13 ,20 ,1.01126 ,0.0228091 ,0.0145723 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,4 ,7
80,20 ,29 ,1.01502 ,0.00308187 ,0.0484203 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,7 ,10
80,29 ,36 ,0.923507 ,0.0124417 ,-0.0112175 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,10 ,13
80,36 ,42 ,0.974229 ,0.00152752 ,-1.60164 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,13 ,16
80,42 ,47 ,1.00187 ,0.0111455 ,-0.0112603 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,16 ,19
80,47 ,54 ,0.998311 ,-0.00536477 ,0.0263395 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,19 ,22
80,54 ,59 ,1.00388 ,-0.0220559 ,-0.0159844 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,22 ,25
80,59 ,62 ,0.951504 ,-0.000723538 ,0.0134033 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,25 ,28
80,62 ,69 ,1.05056 ,-0.0089902 ,-1.61873 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,28 ,31
80,69 ,75 ,1.06699 ,0.00351762 ,-0.0175222 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,31 ,34
80,75 ,82 ,1.03896 ,0.00905164 ,0.00358536 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,34 ,37
80,82 ,87 ,0.925101 ,0.00590069 ,0.0427111 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,37 ,40
80,87 ,92 ,0.965952 ,-0.0146351 ,-0.0326752 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,40 ,43
80,92 ,99 ,0.939971 ,0.00430125 ,1.54821 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,43 ,46
80,99 ,105 ,1.06988 ,0.00185722 ,-0.000458412 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,46 ,49
80,105 ,107 ,0.969065 ,0.00457237 ,-0.0498258 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,49 ,52
80,107 ,114 ,0.988324 ,-0.00508969 ,-0.0210951 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,52 ,55
80,114 ,121 ,1.04246 ,0.00730419 ,-0.0458005 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,55 ,58
80,121 ,127 ,1.06586 ,-0.00821265 ,-1.52609 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,58 ,61
80,127 ,132 ,0.982002 ,-0.012228 ,0.0533287 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,61 ,64
80,132 ,137 ,0.96821 ,-0.0133178 ,0.026712 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,64 ,67
80,137 ,143 ,1.03521 ,0.00999989 ,0.0561977 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,67 ,70
80,143 ,148 ,1.01713 ,-0.000344107 ,0.00215783 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,70 ,73
80,148 ,155 ,1.03738 ,0.00689064 ,-1.56313 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,73 ,76
80,155 ,161 ,1.00771 ,-0.0125968 ,-0.0396144 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,76 ,79
80,161 ,166 ,1.03046 ,-0.000741548 ,0.0612086 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,79 ,82
80,166 ,171 ,1.05785 ,-0.00217717 ,-0.0692944 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,82 ,85
80,171 ,178 ,1.05465 ,-0.0252012 ,0.0257864 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,85 ,88
80,178 ,184 ,1.05594 ,0.0168695 ,1.55552 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,88 ,91
80,184 ,186 ,0.95561 ,0.0158709 ,-0.0374459 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,91 ,94
80,186 ,191 ,0.936985 ,0.00233092 ,-0.0280808 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,94 ,97
80,191 ,197 ,0.969527 ,0.00565433 ,-0.030308 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,97 ,100
80,197 ,205 ,0.938174 ,0.0184123 ,-0.0102621 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,100 ,103
80,205 ,211 ,1.02746 ,-0.0103211 ,-1.60499 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,103 ,106
80,211 ,216 ,0.951845 ,-0.00698245 ,0.0034913 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,106 ,109
80,216 ,222 ,0.999733 ,-0.0182092 ,0.0208945 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,109 ,112
80,222 ,228 ,0.842161 ,0.00665212 ,-0.0413603 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,112 ,115
80,228 ,230 ,1.05687 ,-0.0086925 ,-0.000482607 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,115 ,118
80,230 ,236 ,0.973695 ,0.00505232 ,1.56437 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,118 ,121
80,236 ,244 ,1.02456 ,-0.00362969 ,-0.0367925 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,121 ,124
80,244 ,248 ,0.894758 ,0.00379102 ,0.0079814 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,124 ,127
80,248 ,255 ,1.01479 ,-0.0145433 ,0.0570545 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,127 ,130
80,255 ,259 ,1.0351 ,-0.00647707 ,-0.0485992 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,130 ,133
80,259 ,265 ,1.01635 ,-0.000771158 ,-1.54129 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,133 ,136
80,265 ,272 ,0.92889 ,0.0122089 ,0.00971536 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,136 ,139
80,272 ,278 ,0.987212 ,0.00723831 ,0.0413263 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,139 ,142
80,278 ,284 ,0.952704 ,0.00295009 ,-0.0257275 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,142 ,145
80,284 ,289 ,1.05393 ,-0.0151641 ,0.0388754 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,145 ,148
80,289 ,293 ,1.01134 ,-0.00547792 ,1.62271 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,148 ,151
80,293 ,297 ,1.03327 ,-0.0172223 ,0.0331244 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,151 ,154
80,297 ,304 ,1.06844 ,0.00557651 ,-0.044724 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,154 ,157
80,304 ,310 ,0.972848 ,-0.0154244 ,0.0220658 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,157 ,160
80,310 ,316 ,0.986709 ,0.0106499 ,0.0300984 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,160 ,163
80,316 ,323 ,0.967507 ,-0.00501809 ,1.59101 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,163 ,166
80,323 ,328 ,0.956013 ,0.0108878 ,-0.0305881 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,166 ,169
80,328 ,334 ,1.03312 ,-0.0149283 ,-0.0574427 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,169 ,172
80,334 ,339 ,0.924091 ,-2.89585e-05 ,0.00661325 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,172 ,175
80,339 ,345 ,1.01186 ,0.00707319 ,-0.031115 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,175 ,178
80,345 ,348 ,1.07663 ,0.0121044 ,-1.60822 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,178 ,181
80,348 ,355 ,1.03026 ,0.0137391 ,-0.0867965 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,181 ,184
80,355 ,361 ,1.02975 ,0.00451652 ,0.00627794 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,184 ,187
80,361 ,365 ,0.974051 ,0.00915024 ,-0.0376518 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,187 ,190
80,365 ,371 ,0.994824 ,-0.0131829 ,0.0276912 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,190 ,193
80,371 ,375 ,0.978896 ,0.00651785 ,1.61596 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,193 ,196
80,375 ,382 ,1.00466 ,0.0166349 ,0.0250001 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,196 ,199
80,382 ,386 ,1.0272 ,0.00695605 ,-0.000340437 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,199 ,202
80,386 ,392 ,1.08861 ,0.00789798 ,0.0599197 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,202 ,205
80,392 ,397 ,0.966445 ,-0.00661479 ,0.0268449 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,205 ,208
80,397 ,403 ,1.08837 ,0.00364516 ,1.58437 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,208 ,211
80,403 ,410 ,0.977069 ,-0.0116938 ,0.0595659 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,211 ,214
80,410 ,413 ,0.998672 ,0.000576441 ,0.00598453 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,214 ,217
80,413 ,422 ,0.963527 ,-0.00436229 ,-0.0222655 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,217 ,220
80,422 ,427 ,1.06468 ,-0.00543569 ,-0.00922948 ,400 ,0 ,0 ,0 ,10000 ,0 ,0 ,0 ,820.702 ,220 ,223
